danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track.name,user
0.595,0.525,11,-11.582,0,0.0499,0.3,3.15e-5,0.197,0.826,124.569,0h06YSqzwbAU9ZDuIvw8pk,192200,4,Love Me Like a Man - 2008 Remaster,Erica
0.557,0.606,9,-6.884,0,0.064,0.136,0,0.245,0.592,90.202,5rbGLI5j4CoAStHSWrx0HW,140027,4,I Can't Do Without You,Erica
0.555,0.226,5,-13.511,1,0.0384,0.978,0,0.12,0.506,100.946,1hTl6P4cObJLDJEMS6Saif,176867,3,I Gave Up All I Had,Erica
0.801,0.641,11,-8.584,1,0.0455,0.0667,0.0244,0.172,0.701,124.979,6JrAEmBFd61eYIGVOSPnT4,195210,4,Wicked Games (feat. Anna Naklab) - Radio Edit,Erica
0.701,0.741,2,-6.157,1,0.313,0.112,0,0.699,0.588,140.177,6jy9yJfgCsMHdu2Oz4BGKX,178623,4,Papi’s Home,Erica
0.661,0.265,2,-14.42,1,0.0465,0.934,0.00707,0.12,0.831,121.058,31xqbaSu7ozgcK8desDuMK,158853,4,Do I Ever Cross Your Mind,Erica
0.67,0.279,5,-15.589,1,0.0289,0.793,0.00879,0.109,0.552,77.82,2zLIjfjQ8kMy7WSSLmF0I2,170800,4,Thank You - 2008 Remaster,Erica
0.317,0.15,9,-17.433,1,0.0323,0.951,9.28e-5,0.113,0.228,45.306,4FCNizKAqQ0JDx9ZWDEt1Z,168267,3,Can't Help Falling in Love,Erica
0.342,0.168,4,-14.879,0,0.032,0.766,0.43,0.118,0.138,142.599,6VnKIbHslTmwhEmH36ln4Q,247267,3,Spell,Erica
0.748,0.737,7,-5.377,1,0.0449,0.0864,1.21e-4,0.118,0.0859,139.967,2A8lxHaI7sJD1oABvXwly1,147293,4,Move Me,Erica
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-6,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,200455,4,Flowers,Erica
0.781,0.768,8,-5.64,1,0.0376,0.0127,0.00434,0.159,0.469,121.987,6TkMxzRiOhA3yXCZWnsQHS,143607,4,Groceries,Erica
0.528,0.469,8,-7.714,1,0.0247,0.541,0,0.135,0.767,164.178,7d8XCLdv4VYAb9YejIcWsH,182347,4,Lady Love,Erica
0.723,0.593,5,-6.607,0,0.037,0.123,7.34e-4,0.126,0.874,120.052,6OBQJkM9RtQXcYL26Az2Pg,200000,4,Bumblebee,Erica
0.798,0.426,8,-11.365,0,0.034,0.527,8.42e-4,0.101,0.333,120.018,3uL7D152nfGyHMbJn5reCy,185041,4,Did I Get It Wrong,Erica
0.695,0.223,2,-12.786,1,0.0319,0.924,0.00342,0.139,0.354,121.981,7epHw01JrUjS1kKdxdENTE,136320,4,Multiply,Erica
0.246,0.463,3,-11.14,0,0.035,0.736,0.00711,0.116,0.0473,117.184,0EfubwSUMrFoP5YqVpgbez,264240,4,That Fateful Day,Erica
0.336,0.344,11,-13.046,1,0.0282,0.819,0.241,0.102,0.118,102.415,0wFsKxTwDroyhVOI8UxNJv,225867,4,Wildfire,Erica
0.673,0.452,7,-11.694,1,0.0255,0.331,1.75e-5,0.103,0.478,93.002,6yLcaFOYunimiKwO8U8DVv,216917,4,Murky,Erica
0.536,0.419,3,-9.122,1,0.0453,0.971,9.43e-5,0.151,0.571,97.322,724mTUDtMwxfB2G023Kerf,148523,4,Loretta,Erica
0.641,0.726,2,-6.921,1,0.0381,0.176,0.794,0.0972,0.0416,124.012,61Hn9ssQkVEWq4ZmPwHyzd,333871,4,"Oh, Miles",Erica
0.653,0.496,10,-7.262,0,0.0868,0.625,0.274,0.151,0.102,86.013,2pSsHnjAgEPjHmet7ChlHQ,195905,4,Coming Back (feat. SZA),Erica
0.5,0.585,10,-7.616,0,0.0628,0.397,0,0.377,0.577,75.527,3WoLVxbGZbzp3vn143kJqK,158981,4,Here and There,Erica
0.628,0.717,9,-4.82,0,0.0359,0.0988,0.0138,0.137,0.117,124.89,1yyQxEZcZBSTyI1sShNGKC,211200,4,My Love - MEDUZA Remix,Erica
0.667,0.75,0,-4.602,1,0.0906,0.0746,1.98e-4,0.197,0.486,126.041,72yP0DUlWPyH8P7IoxskwN,202246,4,Hold Me Closer,Erica
0.508,0.411,1,-6.95,1,0.0269,0.226,0,0.0571,0.34,131.008,1UTGAopFU1g7qoxTE8sE3D,232796,4,Casual,Erica
0.69,0.682,1,-4.309,1,0.027,0.229,2.37e-5,0.0965,0.707,93.98,5Ab3FE7OS7Yqe8o9wTYfgk,179258,4,Lied About Love,Erica
0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,5Y35SjAfXjjG0sFQ3KOxmm,180853,3,Nobody Gets Me,Erica
0.533,0.74,2,-5.767,1,0.0359,0.089,2.95e-6,0.337,0.465,89.934,2e2AXpIiJpet5b4qg85Gh6,185040,4,F2F,Erica
0.598,0.678,0,-5.495,1,0.0485,0.00294,0,0.307,0.432,94.957,1srdYQIXMmdqtEYsJFq8Xc,159158,4,Every Guy Ever,Erica
0.777,0.469,6,-8.344,0,0.163,0.162,0.00239,0.108,0.557,136.05,2L0PRavRIQIjVcZK4Qgfgi,132500,4,Very Few Friends,Erica
0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-5,0.0934,0.25,96.107,5WxVXxCMRnvxUKFq40ELwq,272373,4,Escapism.,Erica
0.508,0.296,3,-10.513,1,0.0755,0.897,5e-5,0.11,0.134,82.532,5jfhLCSIFUO4ndzNRh4w4G,268856,4,"Burn, Burn, Burn",Erica
0.434,0.215,10,-8.478,1,0.0417,0.82,0,0.456,0.187,118.152,53zCCom4uEoIBaOAEJtjUL,211316,4,The Good I'll Do,Erica
0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,0IVAlb0cFCH1cQ974iR1TU,223547,4,Ms. Fat Booty,Erica
0.405,0.283,7,-7.218,1,0.0378,0.454,0,0.112,0.27,172.746,2nATTe1i7aMzIZ8klEpgQ7,237819,4,Darling,Erica
0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,3GKL13lkM5nRc4zC1lIOrR,236800,4,Still Not a Player (feat. Joe) - Radio Version,Erica
0.815,0.606,2,-4.496,0,0.0586,0.543,2.03e-5,0.114,0.484,114.009,2lVYLiHGIX6GajMqYXF1Un,223160,4,FOREVER (with 6LACK),Erica
0.617,0.821,9,-4.085,1,0.026,0.00999,0.494,0.426,0.581,106,4Ys8jQvZOISzmp34BsImRf,128199,4,Washing Machine Heart,Erica
0.254,0.0877,6,-9.996,1,0.0382,0.805,2.9e-5,0.137,0.0907,68.991,1tpkN6z0Zd3wphAd3DASDX,281440,4,The End Of Love,Erica
0.26,0.261,4,-9.651,1,0.0358,0.837,0,0.249,0.226,138.2,0ltmioOsLQsL0OFgcPbdVi,200304,3,i saw you in a dream,Erica
0.713,0.719,4,-6.972,1,0.0455,0.164,0.0335,0.0853,0.24,119.993,1nV6VafLPuRSsXgbDY3i6L,184000,4,One Last Dance,Erica
0.418,0.465,1,-9.812,1,0.0297,0.649,2.99e-4,0.106,0.691,140.608,3334xWYH9iixSh7udvlrKE,185293,4,River Fool,Erica
0.596,0.458,9,-8.556,0,0.0677,0.814,1.25e-4,0.0812,0.353,99.381,6ZwNOYjJ06J77YF1ggXtaT,154800,4,Love Again,Erica
0.389,0.457,5,-9.633,1,0.0359,0.612,5.79e-5,0.212,0.521,150.684,6YbQXUNroKs9qofA8gttor,193080,4,Tom Barrett,Erica
0.648,0.327,4,-11.638,0,0.0273,0.399,0.00791,0.123,0.149,97.023,3QeznxbfXEQAy7BnYAqjGN,240787,4,Consolation Prize,Erica
0.747,0.488,11,-10.348,0,0.0331,0.00875,0.00596,0.0954,0.517,113.983,5MozlTpfumvMdWFsh0XH2e,372463,4,Could Be a Curse,Erica
0.733,0.744,1,-3.51,1,0.0553,0.0772,0,0.341,0.529,92.515,4liGjmhCupa7RP9JaQELYx,241133,4,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",Erica
0.727,0.771,8,-7.595,1,0.0499,0.115,0.854,0.126,0.313,120.002,31SXKJBLm38BkGB3I2nVsZ,342605,4,Lonely Romance,Erica
0.891,0.489,5,-8.14,0,0.135,0.037,2.12e-5,0.0899,0.794,93.515,22xea6Z2a8BbyVeCksSBX9,126218,4,Like A Blade Of Grass,Erica
0.577,0.0935,7,-22.226,1,0.0351,0.97,0.882,0.112,0.137,113.665,2k9qDW4C7vORcJoZIJacMJ,152573,4,A Good Friend Is Always Around,Erica
0.856,0.84,6,-7.736,0,0.334,0.0973,0,0.0773,0.792,95.416,7EQvdUJqZ2i7SWvSB2VqGA,298053,4,Doomsday,Erica
0.603,0.509,1,-6.824,1,0.0311,0.374,2.91e-5,0.0627,0.572,136.592,13yxz52EwElyue9PLrqcZY,165330,4,Slip Away,Erica
0.755,0.529,0,-6.066,0,0.0986,0.0834,2.77e-5,0.27,0.228,112.035,0ABeME5fOK9X8dfqx6V98C,191463,4,Bitch (I Said It),Erica
0.647,0.596,0,-3.895,0,0.0402,0.5,0,0.271,0.362,96.988,44BLCiHna5WuziLINWZhYb,185337,4,SH!TSHOW,Erica
0.442,0.83,6,-12.976,1,0.0376,7.9e-4,2.46e-5,0.0887,0.538,154.029,5qMq8ITRVuTwqd2pDL0gff,162078,4,<maybe> it's my fault,Erica
0.649,0.647,6,-7.386,1,0.0913,0.0496,8e-4,0.104,0.844,158.982,18kOgPYJgcMCpurna8P23T,133679,4,3AM in New Orleans,Erica
0.731,0.45,6,-8.086,0,0.0443,0.136,9.89e-4,0.107,0.0856,105.989,31ABtQJdfloNaGz7ZhXaN5,280131,4,King,Erica
0.582,0.371,2,-9.585,0,0.028,0.912,0.00784,0.108,0.163,128.756,11TmWrHkxwtVcCtEdAXjJA,193533,4,Daylight,Erica
0.551,0.451,11,-10.683,1,0.03,0.27,0.259,0.117,0.19,91.962,2mDdkeVuUsyIepwzLCxuu6,249920,4,Mountain Song,Erica
0.544,0.224,7,-14.41,1,0.0351,0.781,0.0014,0.128,0.189,105.347,1kStecVGAvK2RLhf0S9ywc,128115,5,The Trains Are Gone,Erica
0.374,0.585,8,-9.436,1,0.054,0.748,0,0.821,0.654,176.859,3R6yNicsZrWF8ybl02imcB,179720,4,Charleston Girl (Live),Erica
0.725,0.306,2,-12.257,1,0.0286,0.833,3.23e-5,0.0936,0.394,110.987,3F7GHXex7H9b8zJWsfyqGW,221013,4,Made Like That,Erica
0.901,0.361,11,-14.2,0,0.268,0.261,0.704,0.0598,0.514,92.118,6Mbm86B4joMLyCncLCESCG,260693,4,Dog It,Erica
0.5,0.251,0,-11.588,1,0.029,0.764,7.19e-4,0.0788,0.247,89.189,5qVjXhHDBf8hmYRmxb5iJN,201653,3,Whispering Waltz,Erica
0.448,0.111,10,-20.606,1,0.0353,0.991,0.898,0.0974,0.0755,74.76,1dWxSS2a93X4XVfs1mSYkB,204629,3,Bluebird,Erica
0.553,0.512,5,-7.759,1,0.0465,0.569,3.87e-5,0.107,0.259,94.96,0uVKVK06Eg7e74H36PbSZm,195773,4,Big Wheel,Erica
0.654,0.713,1,-6.484,0,0.0846,0.628,0,0.0837,0.694,80.043,1lNEXDlxVhsWaq2DLBUDgC,167120,4,simple times,Erica
0.42,0.879,11,-4.916,0,0.0568,0.00729,8.47e-5,0.18,0.432,128.913,1E0A352r5zPfIZ4OjxoVaV,279000,4,Wave to Anchor,Erica
0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-6,0.142,0.533,97.008,0V3wPSX9ygBnCm8psDIegu,200690,4,Anti-Hero,Erica
0.453,0.383,1,-9.266,1,0.0408,0.35,0.00242,0.0917,0.282,137.255,0nrKz8Ez1mQ1wiv1oqc7Ld,284000,4,Go Find Yourself or Whatever,Erica
0.484,0.824,7,-4.213,1,0.0968,0.638,0,0.251,0.685,183.913,0s2daWQFrTz6UYhPQqHTYx,248360,4,A 1000 Times,Erica
0.608,0.895,0,-9.447,1,0.042,2.04e-4,0.753,0.11,0.0699,123.007,03cAFCWyzUOFus6Os8EoQG,395450,4,Belfast - Yotto Remix,Erica
0.634,0.198,11,-8.68,1,0.0339,0.912,9.94e-5,0.0875,0.299,110.79,6QAztdj5jtr41PL56WcgvP,164567,4,The Bomb,Erica
0.818,0.374,1,-10.666,0,0.0459,0.0951,0.0139,0.217,0.457,117.956,6YArGkJUr82ehzRFa2YaRK,163880,4,Wake Me,Erica
0.649,0.467,5,-6.589,1,0.0304,0.874,1.68e-5,0.114,0.353,106.549,7AkPusgKsrTqbOcTTbRnFr,154773,4,Halloween,Erica
0.837,0.738,1,-5.297,0,0.117,0.0381,6.97e-6,0.0589,0.715,110.993,1RRlUJMxjp2FmkTExBT2T7,244049,4,Fkn Around (feat. Megan Thee Stallion),Erica
0.661,0.505,4,-7.082,1,0.108,0.0629,4.57e-4,0.0587,0.532,95.028,4pdGqhW6HzzsFP8Gi3vMn8,218531,4,All Night,Erica
0.666,0.786,0,-5.715,1,0.0394,0.0532,0,0.0476,0.6,117.126,70v5mCvyPRquTyU7qTIU81,249907,4,Everything Is Embarrassing,Erica
0.668,0.726,9,-7.512,1,0.0468,0.0387,0,0.134,0.453,124.075,7CH8J4ulT49UfZwSDSkSZA,172143,4,i miss u (with Au/Ra),Erica
0.602,0.475,2,-10.29,1,0.0279,0.0635,0.00184,0.0918,0.595,119.991,0ewKJ6eM0Z761OissISTW7,161733,4,In Dreams,Erica
0.569,0.432,6,-11.012,0,0.0428,0.84,0,0.164,0.531,120.37,1BaAzMva4yf7cWeOGwp7H4,146627,4,Mood Indigo,Erica
0.554,0.38,9,-10.666,1,0.0314,0.526,0,0.213,0.284,118.925,6G1Mz5yMgn0ydOlIvTrZ65,213754,4,Run Away to Mars,Erica
0.749,0.676,5,-8.413,0,0.356,0.121,1.82e-6,0.103,0.672,107.908,5wyFsVGDdrOZM0nf2D4p8f,155556,4,Out of Time - KAYTRANADA Remix / Radio Edit,Erica
0.66,0.912,2,-7.146,0,0.0342,0.113,0.0209,0.0855,0.885,118.991,3a9sR23l0Xqkixtbwx38f6,226400,4,Move - Edit,Erica
0.765,0.627,0,-4.607,1,0.0622,9.16e-4,0.195,0.0847,0.536,118.997,7a5fliY9SsZENrQWQBZron,308820,4,Texts Go Green,Erica
0.705,0.524,2,-9.776,0,0.032,0.112,0.26,0.109,0.219,119.987,11SEKnYpFCFRXnUap3Cso2,230016,4,All In A Dream,Erica
0.615,0.648,2,-9.515,1,0.0472,0.14,0.867,0.146,0.418,126.027,51chgK66fLkr1TO3zRYt79,333772,4,Beaches,Erica
0.777,0.738,11,-5.861,0,0.0352,0.0411,0.37,0.0265,0.887,123.991,3rh495Z2rIRwD316blea4f,232625,4,Happy Music,Erica
0.738,0.75,11,-3.654,0,0.219,0.0167,0.00976,0.174,0.342,112.009,1jBKtzlwTVtCrScpiiHiKT,207840,4,Intimidated (feat. H.E.R.),Erica
0.667,0.668,3,-6.836,1,0.0563,0.00631,0.91,0.122,0.685,113.995,0axBrs6n3iKi3LAIISrcDh,231587,4,Fora,Erica
0.867,0.82,11,-3.655,1,0.0842,0.00843,9.5e-4,0.0856,0.23,124.017,6HpXwNzOm3rW4ox4alBn34,271916,4,Teen Scene (ft. Buddy) - Wax Motif Remix,Erica
0.658,0.741,9,-5.178,0,0.0439,0.0493,0,0.0682,0.676,95.971,5SmLSDbwfQCtAmudxpsfCX,217171,4,It Ain't Me,Erica
0.603,0.728,0,-7.453,1,0.0428,0.0425,9.33e-6,0.113,0.585,106.031,1Cx5pTBRWI67JXVmMGJT23,232299,4,Sitting In The Corner (feat. Adriel Favela & Kacey Musgraves),Erica
0.878,0.685,9,-5.28,1,0.225,0.00152,0,0.0753,0.523,157.003,3uJFmluXzYedoJcvhpC1AW,211649,4,Hot Shit (feat. Ye & Lil Durk),Erica
0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,3azJifCSqg9fRij2yKIbWz,226467,4,The Color Violet,Erica
0.851,0.852,8,-6.842,1,0.0483,0.307,2.34e-5,0.73,0.854,120.085,7iO8C8WokR1folp9mPdN2t,234173,4,Come Around,Erica
0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,4RVwu0g32PAqgUiJoXsdF8,298899,3,Happier Than Ever,Erica
0.595,0.653,7,-4.935,1,0.0265,0.246,0,0.264,0.542,128.93,3oW6SWwGqiZSPTiAp7ZQoH,241533,4,It's A Great Day To Be Alive,Erica
0.494,0.216,6,-11.701,1,0.0342,0.816,0.00103,0.102,0.254,121.03,40P8x6FLoYWfR0iNt0bJYo,206440,4,Home,Erica
0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,1RJl5cZ8kFpoVFOS2x6scI,192897,4,Take Me Where Your Heart Is,Erica
0.711,0.719,5,-5.016,0,0.173,0.0402,7.55e-4,0.0775,0.712,175.903,3tCCH9aaiKRmwOjvIKq76d,197727,4,Shawty,Erica
0.955,0.48,1,-6.171,0,0.0993,0.0449,2.61e-5,0.547,0.449,105.091,12bZwKgVax8ibhwfiPgkQT,312160,4,The Boogie That Be,Erica
0.58,0.696,7,-10.91,1,0.0408,0.66,0.852,0.145,0.721,93.688,2lDODk7inZnmUHbIjUnIwP,111787,4,Running Away,Erica
0.625,0.826,4,-5.037,1,0.0325,0.121,0,0.158,0.699,99.919,6fIvjDuusQK59brMgHV9qb,218867,4,This,Erica
0.576,0.424,11,-7.49,1,0.0489,0.28,0,0.143,0.441,91.72,0fRz4JVcVEIxKvZwFDVVln,211867,4,You're Gonna Make Me Lonesome When You Go,Erica
0.726,0.489,11,-9.344,0,0.484,0.301,1.72e-5,0.263,0.447,115.195,2zg3Y2hKzNeo2qIVXkbKUf,137739,4,EXCEPTIONAL,Erica
0.678,0.536,1,-10.989,0,0.0406,0.134,0.275,0.117,0.316,147.992,2VN39hYEGp8svTTPtLQ96d,232445,4,Summer,Erica
0.463,0.736,0,-3.65,1,0.0396,0.0879,6.53e-6,0.0887,0.202,70.507,6F09XWGVJ8ZCyAp3QGamP2,194173,4,You Shadow,Erica
0.235,0.862,6,-5.229,0,0.072,0.00467,0.00122,0.598,0.269,90.471,0mkppcEMgeTPYfAGmQYEtG,288853,5,Anti Heaven,Erica
0.401,0.619,0,-7.035,0,0.21,0.168,0,0.272,0.757,78.763,4QUzLCXrpHO4c6dGyZlpO2,176876,4,killer,Erica
0.689,0.872,0,-4.786,1,0.0477,0.0965,4.98e-4,0.117,0.362,134.994,4icnlpI5IbZcRO9mpixVVW,153706,4,Where you are (feat. WILLOW),Erica
0.716,0.735,11,-7.062,1,0.0272,0.341,1.34e-4,0.0969,0.694,124.001,1oWnDC5OoMPPosVY2cdXgT,203547,4,Lavender Girl,Erica
0.687,0.527,0,-7.946,1,0.0454,0.235,0.014,0.393,0.465,110.964,3eYaxOklaOyscPf2zre959,161052,4,Ear Candy,Erica
0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,0.139,0.523,99.958,5o9iQVktO08gIlRAHqqxtj,106800,4,at least i'm pretty,Erica
0.594,0.355,7,-11.184,1,0.0305,0.0478,1.09e-4,0.0559,0.327,134.097,74f0dpqHhTeTJzs4pmZ1yq,269412,4,Pool House,Erica
0.45,0.602,6,-4.301,1,0.0273,0.0892,0.00625,0.107,0.16,172.161,0elCmyfISzkP5tAYTVuYjS,261734,4,August,Erica
0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,2g6tReTlM2Akp41g0HaeXN,239027,4,Die Hard,Erica
0.733,0.598,5,-7.654,1,0.099,0.129,0.0439,0.606,0.367,140.014,0kAGxJkCIBMlPR5c3orWY0,275036,4,Eloise - UTAH Remix,Erica
0.599,0.866,4,-2.702,1,0.0596,0.00778,9.99e-5,0.234,0.872,90.931,34saS5yPSyoZ6QYwC7YGfe,195027,4,Paris (Ooh La La),Erica
0.475,0.885,11,-4.735,0,0.0533,2.24e-5,9.93e-5,0.279,0.413,133.951,66bLKGXOk3kPWWHP7Tbrki,159651,4,Celebrity Skin,Erica
0.753,0.868,7,-2.318,1,0.097,0.173,0,0.268,0.709,130.081,63EUqnpcphhZh8SbXagArw,126906,4,Many Times,Erica
0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,10xV5l9nhLvFpR8mqzs0bL,155589,4,Numb,Erica
0.652,0.272,6,-11.965,1,0.0419,0.52,0.00706,0.116,0.119,93.074,0Y5O7EOfJFAZVJ66cseAZ5,227097,4,that place i don't like,Erica
0.484,0.346,2,-10.441,1,0.0371,0.603,1.81e-4,0.204,0.0974,79.972,69jstgacdd40OwG9cLl45r,176747,3,Goodnight,Erica
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303,4,As It Was,Erica
0.569,0.405,3,-6.697,1,0.0606,0.219,0,0.133,0.648,99.71,4cqj8FIWkyR5A2XBtcqRMU,187229,4,God Is A Freak,Erica
0.77,0.62,2,-8.372,1,0.101,0.00935,9.24e-4,0.252,0.401,106.007,2eDPKqoA4BRFzhKu2YB1Na,185660,4,Paradise,Erica
0.71,0.543,5,-9.141,1,0.0527,0.478,8.66e-6,0.0988,0.481,83.965,5NXthnJecYXjt7sTEWETTY,138929,4,life got crazy,Erica
0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-5,0.527,0.22,90.494,30KctD1WsHKTIYczXjip5a,193293,4,Tequila Shots,Erica
0.811,0.355,9,-9.808,1,0.0926,0.27,0.00113,0.0995,0.435,88.031,3wcds7r4xA9klfbPr81gK7,165000,4,days go bye,Erica
0.667,0.67,3,-6.837,1,0.0558,0.00636,0.924,0.123,0.697,113.99,2StKHkAF6pvefAI3S61Alm,231587,4,Fora,Erica
0.661,0.694,11,-7.902,0,0.0325,0.025,0.115,0.0417,0.295,123.958,0gT8d4DW5wDlJahSlLiuda,267488,3,My Stripes,Erica
0.666,0.768,4,-7.249,0,0.0522,0.00789,0.817,0.0487,0.213,127.007,2cXbrpn30LnJyjO0BaO6rs,351501,4,Only Love (LP Giobbi Remix),Erica
0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822,4,About Damn Time,Erica
0.71,0.604,11,-6.505,0,0.0417,0.00691,0,0.19,0.338,119.877,4WG91Pt9MkJs5gMHZECKfZ,187867,4,First High,Erica
0.481,0.646,11,-9.222,1,0.043,0.462,0.00849,0.117,0.472,97.005,0aDeG8r4nhlRSkAyQMgqWZ,222809,4,Holy Roses,Erica
0.306,0.86,1,-7.371,1,0.0534,0.204,1.46e-4,0.369,0.541,136.265,1nmZ8yqKkfooOuYvtFctDp,227893,4,Heat Of The Moment,Erica
